Milestone;Critical Path Tasks;Task Group;Task Duration (Days);Target Date;
1;Evaluate Market;Market Assessment;12;27-04-2017;
;Develop Business Opportunity;;14;;
;Customer Preference Study;;21;;
;Business Evaluation (NPV, etc.);;4;;
2;Design and Development Plan;Design;6;06-06-2017;
;Design Specifications;;22;;
3;Advertising Campaign;Commercialization;28;14-07-2017;
4;Design Labeling;Design;5;03-08-2017;
;Approve Design;;4;;
;Initial Engineering Specifications;Engineering;5;;
5;Design Verification Activities;Engineering;7;01-09-2017;
;Verification Design Review;;4;;
;Release Pre-production Specifications;;10;;
6;Build Functional Model;Engineering;18;27-09-2017;
7;Issue Sample (Production Equivalent);Procurement;5;24-10-2017;
;Perform Supplier Process Capability;Supplier Quality;14;;
8;Process Engineering Plan;Manufacturing;15;14-11-2017;
9;Validation Design Review;Engineering;4;24-11-2017;
;Approve Model Design;;4;;
10;Qualify Supplier;Supplier Quality;10;08-12-2017;
;Design Transfer Activities;Engineering;7;;
;Product Release Meetings;Engineering Quality;3;;
11;Develop Production Control Plan;Manufacturing;8,5;08-01-2018;
;Approve Production Parts;;5;;
;Contracting for Deliveries;;8;;
12;Submit Production Purchase Order;Manufacturing;2;31-01-2018;
;Production Pilot Test;;5;;
;Debugging Production System;;4;;
;Production Release;;3;;
;Product Launch;Commercialization;3;;
